Source ID,Date,Time (UTC),Affiliation,SNAP deduced,SNAP certain,NFR code,Latitude,Longitude,Wind dir.,Wind (m/s),Met. Location,Source type,Sampling method,Location,City,Region,Country,Continent,Campaign,Sample Receptacle,Field comment,Measurement type,Measurement lab,n d13C,Source d13C VPDB [‰],+-,r2 d13C,x(CH4) excess d13C [ppb],+-,n dD,Source dD SMOW [‰],+-,r2 dD,x(CH4) excess dD [ppb],+-,Regression method
ESR8_51,30/06/2018,13:11:00,UU,Oceans,Oceans,nan,55.30653000,4.09000000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dogger bank,North Sea,,The Netherlands/UK,Europe,Pelagia,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,2,-67.96,2.9691,1,104.11,8.18,2,-611.2,158.5892681,1,50.47,18.46,ODR
ESR9_159,27/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.39557600,26.03758800,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Gardeniei,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,4,-52.51,0.2306,0.948098957,7953.056966,0.170008207,4,-466.0,36.27,0.999752422,7841.490404,0.22817052,BSCE Bisector
ESR9_178,29/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.45666000,26.12778000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Maşina de Pâine ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-42.94,0.0005,1,6968.778387,0.005024812,2,-438.3,0.01783,1,1313.775091,0.00342,BSCE Bisector
ESR9_170,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.41281600,26.11849400,nan,nan,nan,Urban streets,"Mobile inlet, car",Splaiul Unirii,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-47.63,0.0206,1,23601.19473,0.14330849,2,-421.1,5.018,1,5511.013837,0.08722,BSCE Bisector
ESR8_171,03/06/2019,nan,RHUL/UU,Waste,Waste,5D,52.11197682,5.10853227,nan,nan,nan,WWTP,"Mobile inlet, car",Utrecht WWTP,Utrecht,Utrecht,The Netherlands,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,3,nan,nan,nan,nan,nan,3,-415.1,20.39818866,0.997463306,164.83,4.89,ODR
ESR9_167,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.41527000,26.14603000,nan,nan,nan,Urban streets,"Mobile inlet, car",Intrarea Dumitru Drăgan ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-46.88,0.0061,1,7589.26022,0.006210376,2,-414.2,29.12,1,7317.680692,0.208493171,BSCE Bisector
ESR8_157,15/05/2019,nan,RHUL,Waste,Waste,5A,51.39304841,-1.02289450,nan,nan,nan,Active landfill,"Mobile inlet, car",Woodside recycling,Windsor,South East England,United Kingdom,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,4,nan,nan,nan,nan,nan,4,-410.7,37.24644235,0.973994824,99.35,14.34,ODR
ESR8_305,17/10/2019,nan,UU,Unknown,Unknown,nan,45.19525199,24.66301371,N,nan,nan,Wide area,"Mobile aircore, aircraft",C3,Curtea de Argeș,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-62.72,1.0155,0.934907313,171.61,2.78,3,-403.6,122.4647783,0.979678608,131.09,68.44,ODR
ESR8_199,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-71.16,0.1954,0.999234851,545,8,5,-379.7,10.82129909,0.999685831,551,3,ODR
ESR8_198,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-63.92,0.0953,0.977664577,4017,15,5,-375.1,2.076913581,0.999887793,3842,4,ODR
ESR9_172,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.40968000,26.08124000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Doina,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-41.94,0.0153,1,6965.821737,0.034713292,2,-375.1,15.05,1,6736.854667,0.162366369,BSCE Bisector
